latent_drop_threshold,observed_slope_abs_threshold,station,false_stability_rate,rank_desc
0.12,0.005,Dome A,0.6311,1
0.12,0.005,Dome Fuji,0.6295,2
0.12,0.005,Concordia,0.6247,3
0.12,0.005,Dome C,0.613,4
0.12,0.005,Clean Air,0.6035,5
0.12,0.005,Byrd,0.2506,6
0.12,0.005,Cape Denison,0.1073,7
0.12,0.01,Dome A,0.8124,1
0.12,0.01,Dome Fuji,0.8056,2
0.12,0.01,Concordia,0.7993,3
0.12,0.01,Dome C,0.7736,4
0.12,0.01,Clean Air,0.7433,5
0.12,0.01,Byrd,0.3067,6
0.12,0.01,Cape Denison,0.1227,7
0.12,0.015,Dome A,0.8303,1
0.12,0.015,Dome Fuji,0.8229,2
0.12,0.015,Concordia,0.8162,3
0.12,0.015,Dome C,0.7863,4
0.12,0.015,Clean Air,0.7536,5
0.12,0.015,Byrd,0.3107,6
0.12,0.015,Cape Denison,0.1233,7
0.12,0.02,Dome A,0.8312,1
0.12,0.02,Dome Fuji,0.8238,2
0.12,0.02,Concordia,0.817,3
0.12,0.02,Dome C,0.7865,4
0.12,0.02,Clean Air,0.7537,5
0.12,0.02,Byrd,0.3109,6
0.12,0.02,Cape Denison,0.1233,7
0.12,0.03,Dome A,0.8312,1
0.12,0.03,Dome Fuji,0.8238,2
0.12,0.03,Concordia,0.817,3
0.12,0.03,Dome C,0.7865,4
0.12,0.03,Clean Air,0.7537,5
0.12,0.03,Byrd,0.3109,6
0.12,0.03,Cape Denison,0.1233,7
0.15,0.005,Dome A,0.6154,1
0.15,0.005,Dome Fuji,0.6044,2
0.15,0.005,Concordia,0.588,3
0.15,0.005,Dome C,0.5394,4
0.15,0.005,Clean Air,0.4962,5
0.15,0.005,Byrd,0.0921,6
0.15,0.005,Cape Denison,0.0191,7
0.15,0.01,Dome A,0.7923,1
0.15,0.01,Dome Fuji,0.7741,2
0.15,0.01,Concordia,0.7525,3
0.15,0.01,Dome C,0.6823,4
0.15,0.01,Clean Air,0.6157,5
0.15,0.01,Byrd,0.1145,6
0.15,0.01,Cape Denison,0.0212,7
0.15,0.015,Dome A,0.8097,1
0.15,0.015,Dome Fuji,0.7905,2
0.15,0.015,Concordia,0.7686,3
0.15,0.015,Dome C,0.6946,4
0.15,0.015,Clean Air,0.6248,5
0.15,0.015,Byrd,0.1163,6
0.15,0.015,Cape Denison,0.0216,7
0.15,0.02,Dome A,0.8105,1
0.15,0.02,Dome Fuji,0.7913,2
0.15,0.02,Concordia,0.7694,3
0.15,0.02,Dome C,0.6948,4
0.15,0.02,Clean Air,0.6249,5
0.15,0.02,Byrd,0.1164,6
0.15,0.02,Cape Denison,0.0216,7
0.15,0.03,Dome A,0.8105,1
0.15,0.03,Dome Fuji,0.7913,2
0.15,0.03,Concordia,0.7694,3
0.15,0.03,Dome C,0.6948,4
0.15,0.03,Clean Air,0.6249,5
0.15,0.03,Byrd,0.1164,6
0.15,0.03,Cape Denison,0.0216,7
0.18,0.005,Dome A,0.5776,1
0.18,0.005,Dome Fuji,0.5459,2
0.18,0.005,Concordia,0.5132,3
0.18,0.005,Dome C,0.4176,4
0.18,0.005,Clean Air,0.3482,5
0.18,0.005,Byrd,0.024,6
0.18,0.005,Cape Denison,0.0025,7
0.18,0.01,Dome A,0.7454,1
0.18,0.01,Dome Fuji,0.7009,2
0.18,0.01,Concordia,0.6597,3
0.18,0.01,Dome C,0.534,4
0.18,0.01,Clean Air,0.4344,5
0.18,0.01,Byrd,0.0295,6
0.18,0.01,Cape Denison,0.0029,7
0.18,0.015,Dome A,0.7621,1
0.18,0.015,Dome Fuji,0.7169,2
0.18,0.015,Concordia,0.6749,3
0.18,0.015,Dome C,0.5449,4
0.18,0.015,Clean Air,0.442,5
0.18,0.015,Byrd,0.0299,6
0.18,0.015,Cape Denison,0.0029,7
0.18,0.02,Dome A,0.7629,1
0.18,0.02,Dome Fuji,0.7177,2
0.18,0.02,Concordia,0.6757,3
0.18,0.02,Dome C,0.5451,4
0.18,0.02,Clean Air,0.4421,5
0.18,0.02,Byrd,0.03,6
0.18,0.02,Cape Denison,0.0029,7
0.18,0.03,Dome A,0.7629,1
0.18,0.03,Dome Fuji,0.7177,2
0.18,0.03,Concordia,0.6757,3
0.18,0.03,Dome C,0.5451,4
0.18,0.03,Clean Air,0.4421,5
0.18,0.03,Byrd,0.03,6
0.18,0.03,Cape Denison,0.0029,7
0.21,0.005,Dome A,0.506,1
0.21,0.005,Dome Fuji,0.4486,2
0.21,0.005,Concordia,0.3986,3
0.21,0.005,Dome C,0.2764,4
0.21,0.005,Clean Air,0.1961,5
0.21,0.005,Byrd,0.0055,6
0.21,0.005,Cape Denison,0.0002,7
0.21,0.01,Dome A,0.657,1
0.21,0.01,Dome Fuji,0.5817,2
0.21,0.01,Concordia,0.5171,3
0.21,0.01,Dome C,0.3579,4
0.21,0.01,Clean Air,0.2484,5
0.21,0.01,Byrd,0.0062,6
0.21,0.01,Cape Denison,0.0002,7
0.21,0.015,Dome A,0.673,1
0.21,0.015,Dome Fuji,0.5963,2
0.21,0.015,Concordia,0.5304,3
0.21,0.015,Dome C,0.3667,4
0.21,0.015,Clean Air,0.2539,5
0.21,0.015,Byrd,0.0063,6
0.21,0.015,Cape Denison,0.0002,7
0.21,0.02,Dome A,0.6738,1
0.21,0.02,Dome Fuji,0.5971,2
0.21,0.02,Concordia,0.5312,3
0.21,0.02,Dome C,0.3669,4
0.21,0.02,Clean Air,0.254,5
0.21,0.02,Byrd,0.0063,6
0.21,0.02,Cape Denison,0.0002,7
0.21,0.03,Dome A,0.6738,1
0.21,0.03,Dome Fuji,0.5971,2
0.21,0.03,Concordia,0.5312,3
0.21,0.03,Dome C,0.3669,4
0.21,0.03,Clean Air,0.254,5
0.21,0.03,Byrd,0.0063,6
0.21,0.03,Cape Denison,0.0002,7
0.24,0.005,Dome A,0.4076,1
0.24,0.005,Dome Fuji,0.3313,2
0.24,0.005,Concordia,0.2707,3
0.24,0.005,Dome C,0.1577,4
0.24,0.005,Clean Air,0.0927,5
0.24,0.005,Byrd,0.001,6
0.24,0.005,Cape Denison,0.0,7
0.24,0.01,Dome A,0.5346,1
0.24,0.01,Dome Fuji,0.4339,2
0.24,0.01,Concordia,0.356,3
0.24,0.01,Dome C,0.2087,4
0.24,0.01,Clean Air,0.1202,5
0.24,0.01,Byrd,0.001,6
0.24,0.01,Cape Denison,0.0,7
0.24,0.015,Dome A,0.5484,1
0.24,0.015,Dome Fuji,0.4464,2
0.24,0.015,Concordia,0.3666,3
0.24,0.015,Dome C,0.2142,4
0.24,0.015,Clean Air,0.1226,5
0.24,0.015,Byrd,0.001,6
0.24,0.015,Cape Denison,0.0,7
0.24,0.02,Dome A,0.5492,1
0.24,0.02,Dome Fuji,0.4471,2
0.24,0.02,Concordia,0.3673,3
0.24,0.02,Dome C,0.2144,4
0.24,0.02,Clean Air,0.1226,5
0.24,0.02,Byrd,0.001,6
0.24,0.02,Cape Denison,0.0,7
0.24,0.03,Dome A,0.5492,1
0.24,0.03,Dome Fuji,0.4471,2
0.24,0.03,Concordia,0.3673,3
0.24,0.03,Dome C,0.2144,4
0.24,0.03,Clean Air,0.1226,5
0.24,0.03,Byrd,0.001,6
0.24,0.03,Cape Denison,0.0,7
0.3,0.005,Dome A,0.2013,1
0.3,0.005,Dome Fuji,0.1363,2
0.3,0.005,Concordia,0.0863,3
0.3,0.005,Dome C,0.0376,4
0.3,0.005,Clean Air,0.0153,5
0.3,0.005,Cape Denison,0.0,6
0.3,0.005,Byrd,0.0,7
0.3,0.01,Dome A,0.2721,1
0.3,0.01,Dome Fuji,0.1856,2
0.3,0.01,Concordia,0.12,3
0.3,0.01,Dome C,0.0517,4
0.3,0.01,Clean Air,0.0195,5
0.3,0.01,Cape Denison,0.0,6
0.3,0.01,Byrd,0.0,7
0.3,0.015,Dome A,0.2815,1
0.3,0.015,Dome Fuji,0.192,2
0.3,0.015,Concordia,0.1242,3
0.3,0.015,Dome C,0.0539,4
0.3,0.015,Clean Air,0.0204,5
0.3,0.015,Cape Denison,0.0,6
0.3,0.015,Byrd,0.0,7
0.3,0.02,Dome A,0.2821,1
0.3,0.02,Dome Fuji,0.1924,2
0.3,0.02,Concordia,0.1245,3
0.3,0.02,Dome C,0.054,4
0.3,0.02,Clean Air,0.0204,5
0.3,0.02,Cape Denison,0.0,6
0.3,0.02,Byrd,0.0,7
0.3,0.03,Dome A,0.2821,1
0.3,0.03,Dome Fuji,0.1924,2
0.3,0.03,Concordia,0.1245,3
0.3,0.03,Dome C,0.054,4
0.3,0.03,Clean Air,0.0204,5
0.3,0.03,Cape Denison,0.0,6
0.3,0.03,Byrd,0.0,7
